,name,url
0,Statewide Portable Restrooms & Pumping Services,https://americasbiz.net/bid_opportunities/2019/11/01/state/46/9836734-statewide-portable-restrooms--pumping-services.html
1,Statewide Portable Restrooms & Pumping Services,https://americasbiz.net/bid_opportunities/2019/11/01/state/46/9836734-statewide-portable-restrooms--pumping-services.html
2,RFI- StarLIMS Host and/or Upgrade,https://americasbiz.net/bid_opportunities/2019/11/01/state/46/9836723-rfi--starlims-host-andor-upgrade.html
3,RFI- StarLIMS Host and/or Upgrade,https://americasbiz.net/bid_opportunities/2019/11/01/state/46/9836723-rfi--starlims-host-andor-upgrade.html
4,Community Based Therapists- Treatment Program for Sexual Abusers,https://americasbiz.net/bid_opportunities/2019/11/01/state/46/9836712-community-based-therapists--treatment-program-for-sexual-abusers.html
5,Community Based Therapists- Treatment Program for Sexual Abusers,https://americasbiz.net/bid_opportunities/2019/11/01/state/46/9836712-community-based-therapists--treatment-program-for-sexual-abusers.html
6,15A112 - IM Deck (42) & IM Deck (43) & IM Deck (44) & IM Deck (45),https://americasbiz.net/bid_opportunities/2019/11/01/state/46/9836063-15a112---im-deck-42--im-deck-43--im-deck-44--im-deck-45.html
7,15A112 - IM Deck (42) & IM Deck (43) & IM Deck (44) & IM Deck (45),https://americasbiz.net/bid_opportunities/2019/11/01/state/46/9836063-15a112---im-deck-42--im-deck-43--im-deck-44--im-deck-45.html
8,"The Government Is Seeking To Lease Office and Related Space in for a Minimum of 55,091 Ansi/boma Office Area",https://americasbiz.net/bid_opportunities/2019/11/01/state/46/9834170-the-government-is-seeking-to-lease-office-and-related-space-in-for-a-minimum-of-55091-ansiboma-office-area.html
9,"The Government Is Seeking To Lease Office and Related Space in for a Minimum of 55,091 Ansi/boma Office Area",https://americasbiz.net/bid_opportunities/2019/11/01/state/46/9834170-the-government-is-seeking-to-lease-office-and-related-space-in-for-a-minimum-of-55091-ansiboma-office-area.html
10,Interior and Exterior Painting of Post Office,https://americasbiz.net/bid_opportunities/2019/11/02/state/46/9838350-interior-and-exterior-painting-of-post-office.html
11,Interior and Exterior Painting of Post Office,https://americasbiz.net/bid_opportunities/2019/11/02/state/46/9838350-interior-and-exterior-painting-of-post-office.html
12,Historical Society Strategic Plan,https://americasbiz.net/bid_opportunities/2019/11/02/state/46/9838339-historical-society-strategic-plan.html
13,Historical Society Strategic Plan,https://americasbiz.net/bid_opportunities/2019/11/02/state/46/9838339-historical-society-strategic-plan.html
14,*UPDATED* Water System Remedial Expansion Contracts #9,https://americasbiz.net/bid_opportunities/2019/11/02/state/46/9826643-water-system-remedial-expansion-contracts-9.html
15,*UPDATED* Water System Remedial Expansion Contracts #9,https://americasbiz.net/bid_opportunities/2019/11/02/state/46/9826643-water-system-remedial-expansion-contracts-9.html
16,RFB - Roof Replacement,https://americasbiz.net/bid_opportunities/2019/11/04/state/46/9842333-rfb---roof-replacement.html
17,RFB - Roof Replacement,https://americasbiz.net/bid_opportunities/2019/11/04/state/46/9842333-rfb---roof-replacement.html
18,*UPDATED* Coiled Aluminum License Plate Sheeting,https://americasbiz.net/bid_opportunities/2019/11/04/state/46/9830858-coiled-aluminum-license-plate-sheeting.html
19,*UPDATED* Coiled Aluminum License Plate Sheeting,https://americasbiz.net/bid_opportunities/2019/11/04/state/46/9830858-coiled-aluminum-license-plate-sheeting.html
20,*UPDATED* RFP - 2020 Watershed Work Crew,https://americasbiz.net/bid_opportunities/2019/11/05/state/46/9843916-rfp---2020-watershed-work-crew.html
21,*UPDATED* RFP - 2020 Watershed Work Crew,https://americasbiz.net/bid_opportunities/2019/11/05/state/46/9843916-rfp---2020-watershed-work-crew.html
22,*UPDATED* RFP - Blood Toxicology Testing ,https://americasbiz.net/bid_opportunities/2019/11/05/state/46/9843860-rfp---blood-toxicology-testing-.html
