,product_title,pack_size,product_price,rating_count
0,Birds Eye Big Value Pack 30 Cod Fish Fingers - Frozen,784 g,$19.90,(73)
1,Sunshine Hokkaido Milk Toast Bread,400 g,$2.70,(208)
2,Blueberries,125 g,$3.50,(879)
3,Emborg Cooking Cream,200 ml,$3.80,(99)
4,RedMart Multigrain Bread Sliced,380 g,$5.50,(71)
5,Quorn Crispy Nuggets - Frozen,300 g,$6.00,(99)
6,Don Sliced Ham - Honey,100 g,$3.95,(1)
7,Nature's Nutrition Premium Organic Mexico Chia Seeds,500 g,$10.90,(14)
8,Ben & Jerry's Red White and Blueberries Ice Cream,473 ml,$13.90,(2)
9,Pampers Premium Care Pants XL - Case,4 × 30 per pack,$71.83,(110)
10,San Pellegrino Limonata Sparkling Water,6 × 330 ml,$9.86,(27)
11,Heineken Lager Beer - 24x320ML + Free Heineken 0.0 6s (Special Edition),24 × 320 ml,$59.68,(265)
12,Mexican Airflown Avocados,3 per pack,$5.95,(470)
13,Grapefruit,2 per pack,$2.60,(239)
14,White Washed Potatoes,1 kg,$4.25,(43)
15,Red Washed Potatoes,1 kg,$4.25,(20)
16,Ozblu Jumbo Blueberries,125 g,$3.95,(201)
17,Global Seasons Red Flesh Seedless Watermelon,4 kg,$6.25,(191)
18,Belgian Milk Chocolate Thins - Christmas Special,80 g,$4.20,(0)
19,Reese's Miniatures Peanut Butter Cups Gift Box Tray - Christmas Special,225 g,$9.50,(0)
20,F&N Outrageous Orange Sparkling Flavoured Drink,1.5 L,$1.70,(59)
21,Erasmus Bond Classic Tonic Water,24 × 200 ml,$55.00,(0)
22,Belle France Grenadine Cordial - By Le Petit Depot,0.75 L,$6.90,(0)
23,Ruinart Blanc de Blancs Champagne NV - By Three Kraters,750 ml,$147.00,(0)
24,RedMart Vegetarian Pho Hotpot Soup Base - Frozen,800 g,$7.20,(0)
25,RedMart Vietnamese Jasmine Rice,5 kg,$7.79,(149)
26,RedMart Thyme,30 g,$1.75,(16)
27,RedMart Dried Oyster,100 g,$6.55,(9)
28,RedMart Fresh Chicken Drumstick - Reared With Probiotic,300 g,$3.24,(19)
29,RedMart Split Beans (Mung Daal),500 g,$2.66,(12)
30,RedMart Instant Oatmeal,1 kg,$4.50,(22)
31,Smucker's Sugar Free Orange Marmalade,361 g,$5.90,(5)
32,Alpen No Added Sugar Strawberry Muesli,560 g,$7.92,(8)
33,Amazin' Graze Blueberry Goji Coconut Granola,250 g,$10.95,(5)
34,Nature Valley Oats 'n Honey Crunchy Granola Bars,12 × 21 g,$5.85,(55)
35,Cowhead Regular Quick Cooking Organic Rolled Oats,500 g,$3.10,(44)
36,San Benedetto Natural Mineral Water - Case,6 × 1.5 L,$12.00,(96)
37,NESTLE Milo Activ Go Powder,600 g,$10.90,(2)
38,Monjava Espresso Intensity 9 (Nespresso Compatible Coffee Capsules),52 g,$3.95,(2)
39,Kimura Mt. Fuji Soda,240 ml,$2.75,(0)
40,Yeo's Chrysanthemum Pu'er Tea (No Sugar),250 ml,$1.15,(5)
41,Authentic Tea House Ayataka No Sugar Japanese Green Tea (1.5L),1.5 L,$1.64,(490)
42,Naturel Premium Cooking Oil,1 L,$4.96,(85)
43,Royal Umbrella Fragrant Rice,1 kg,$4.30,(70)
44,Knorr Chicken Stock Cubes (x6),60 g,$1.75,(25)
45,McCormick Onion Powder,74 g,$7.35,(6)
46,SongHe Noble Brown Rice,1 kg,$5.30,(30)
47,Duck 100% Vegetable Cooking Oil,2 L,$4.35,(122)
48,Thirsty Hippo Cupboards and Small Spaces Moisture Absorber - Case,4 × 8 per pack,$71.80,(143)
49,Harpic Lavender Fresh Active Cleaning Gel Triple Pack,3 × 500 ml,$7.65,(228)
50,Vanish Oxi Action Fabric Stain Remover,900 g,$14.95,(100)
51,Air Wick Lavender And Almond Blossom Essential Mist Fragrance Diffuser Starter Kit,,$29.90,(34)
52,Woolite Hand Wash Laundry Detergent,1 L,$11.95,(11)
53,Lysol Disinfectant Spray Crisp Linen 510g,510 g,$9.59,(2)
54,Wellness Kittles Chicken And Cranberries,56 g,$10.90,(0)
55,Whimzees Dog Chew - Alligator L,6 per pack,$23.10,(0)
56,Kit Cat Purr Puree Plus + Skin And Coat (Tuna) - Cat Treat,60 g,$3.60,(1)
57,Forcans Dental Stick Omega 3 - Small,220 g,$17.91,(1)
58,Yeowww! Catnip Butterfly - Blue,7 g,$11.80,(0)
59,SmartHeart Creamy Treat Salmon,60 g,$4.19,(0)
60,Enfagrow A+ Stage 4 Baby Formula Milk Powder 360DHA+ (3-6Y) 900g Baby Formula Carton,6 × 900 g,$216.20,(4)
61,Enfamil A+ Stage 2 Infant Formula Baby Milk Powder (6M+),900 g,$53.75,(23)
62,Enfagrow A+ Stage 3 Gentlease Baby Formula Milk Powder (1-3Y),900 g,$55.70,(16)
63,Enfamil A+ Stage 2 Gentlease Infant Formula Baby Milk Powder (6M+),900 g,$63.30,(10)
64,Enfagrow A+ Stage 3 Baby Formula Milk Powder (1-3Y) Vanilla,900 g,$45.30,(6)
65,Enfamama A+ Chocolate Maternal Formula Powder Milk Pregnancy And Lactation,900 g,$33.00,(4)
66,Listerine Cool Mint Antiseptic Mouthwash - Case,6 × 1 L,$39.90,(24)
67,Cetaphil PRO AD Derma Skin Restoring Wash Twin Pack for Eczema-Prone skin,2 × 295 ml,$42.80,(13)
68,Laurier Ultra Gentle Day Wing Sanitary Pads 25Cm,15 per pack,$5.60,(49)
69,Colgate Advanced White Whitening Toothpaste Valuepack 160g x 2,2 × 160 g,$5.85,(182)
70,Dove Go Fresh Revive Body Wash,1 L,$9.70,(71)
71,Gillette Venus Spa Breeze Razor Cartridges Refill,4 per pack,$16.90,(62)
72,CADBURY Chocolate And Oreo Biscuits Assortment - Christmas Special,502 g,$13.90,(0)
73,Meiji Yan Yan Strawberry Biscuits (Tray Of 10),10 × 50 g,$8.00,(0)
74,Meiji Yan Yan Vanilla Biscuits (Tray Of 10),10 × 50 g,$8.00,(0)
75,Glico Pocky Cookies and Cream (Box Of 20),20 × 40 g,$20.90,(0)
76,Meiji Hello Panda Strawberry Biscuits (Tray Of 10),10 × 50 g,$8.00,(0)
77,CADBURY Great Big Box of Fingers Chocolate - Christmas Special,570 g,$12.90,(0)
78,Woodbridge By Robert Mondavi Cabernet Sauvignon - By Epicurie,750 ml,$31.87,(2)
79,Woodbridge By Robert Mondavi Chardonnay - By Epicurie,750 ml,$31.87,(0)
80,Ruffino Greppone Mazzi Brunello Di Montalcino Docg - By Epicurie,750 ml,$108.37,(0)
81,Miguel Torres Santa Digna Rose Reserve - By Epicurie,750 ml,$31.02,(0)
82,Ruffino Riserva Ducale Oro Chanti Classico Gran Selezione Docg - By Epicurie,750 ml,$75.22,(0)
83,Miguel Torres Hemisferio Cabernet Sauvignon Reserve - By Epicurie,750 ml,$28.47,(0)
84,Meiji Bulgaria Wild Berry Yoghurt Drink,140 ml,$1.90,(36)
85,Meiji Fresh Milk,450 ml,$2.30,(73)
86,Meiji Bulgaria Low Fat Yoghurt Drink,140 ml,$1.90,(59)
87,Meiji Mixed Berry Yoghurt,135 g,$1.00,(217)
88,Meiji Coffee Flavour Milk,450 ml,$2.30,(12)
89,Meiji Banana Flavored Milk,946 ml,$3.25,(18)
90,Sunshine Classic Aloha Pizza 9 - Frozen,390 g,$9.90,(4)
91,RedMart Frozen Lamb Samosa - Frozen,300 g,$5.25,(5)
92,Amy's Cheese Pizza - Frozen,369 g,$14.40,(1)
93,Sunshine Curry Chicken Pie - Frozen,150 g,$3.75,(4)
94,Amy's Cheddar Jalepeno Snacks - Frozen,270 g,$9.60,(1)
95,La Cocina de Senen Croquettes Boletus Mushrooms and Potato Flakes - Frozen,200 g,$9.95,(1)
96,Colgate Kids Barbie Battery Toothbrush (Extra Soft),1 per pack,$11.90,(4)
97,Colgate Dental Floss with Tartar Control (50m),1 per pack,$6.00,(9)
98,Colgate Twister Toothbrush Travel Kit Valuepack (Soft),1 per pack,$3.75,(2)
99,Colgate Total Professional Whitening Toothpaste 60g Travel Sample Trial,60 g,$2.95,(10)
100,Colgate Sensitive Pro Relief Original Toothpaste 30g Travel Sample Trial,30 g,$2.50,(5)
101,Colgate Plax Ice Mouthwash 100ml Travel Sample Trial,100 ml,$2.00,(4)
102,Pasabahce Petra - Martini Glass 230CC,12 per pack,$40.50,(0)
103,Pasabahce Diony- Long Drink Glass 345Cc,6 per pack,$27.20,(0)
104,Fine And Durable Chateau Nouveau - Vinatge Champagne Glass 330cc,6 per pack,$73.85,(0)
105,Riedel Extreme Rose/ Champagne Wine Glass Value Pack (4411/55),4 per pack,$154.00,(0)
106,Fine And Durable Rocks B - Whisky Glass 440cc,6 per pack,$61.20,(2)
107,Pasabahce Enoteca - Margarita Glass 460cc,6 per pack,$38.70,(0)
